frame,timestamp,left_hand_velocity,right_hand_velocity,avg_hand_velocity,gesture_frequency_cumulative,face_touches_cumulative,smoothness_cumulative,current_smoothness_left,current_smoothness_right,hands_detected,face_detected,is_black_frame,gesture_change,face_touch
70,2.3356666666666666,0.0,0.0,0.0,0,0,1.0,1.0,1.0,True,False,False,False,False
170,5.6723333333333334,0.0,6256.240653313082,6256.240653313082,0,0,1.0,1.0,1.0,True,False,False,False,False
180,6.006,0.0,1752.010707982714,1752.010707982714,0,0,1.0,1.0,1.0,True,False,False,False,False
190,6.339666666666667,796.2198990581111,440.56246866534866,618.3911838617298,0,0,0.9542906491602537,1.0,0.08581298320507426,True,False,False,False,False
200,6.673333333333334,0.0,323.1276540164969,323.1276540164969,0,0,0.9148721846282484,1.0,0.1202120076803981,True,False,False,False,False
210,7.007000000000001,0.0,945.5452882432697,945.5452882432697,0,0,0.8864245028550382,1.0,0.26079073379229273,True,False,False,False,False
220,7.3406666666666665,0.0,182.99195508868578,182.99195508868578,0,0,0.8718636673384974,1.0,0.48163229537926083,True,True,False,False,False
230,7.674333333333333,0.0,133.48949520733683,133.48949520733683,0,0,0.8553094737065101,1.0,0.41264346203724955,True,True,False,False,False
240,8.008000000000001,0.0,1352.4818311255137,1352.4818311255137,0,0,0.8318537633214547,1.0,0.2415047397119116,True,True,False,False,False
250,8.341666666666667,0.0,742.6047609587629,742.6047609587629,0,0,0.8112713969194059,1.0,0.252060198601933,True,True,False,False,False
260,8.675333333333333,328.0104162854621,895.3212160296594,611.6658161575607,0,0,0.7676509954796621,0.39028061178639467,0.3598541532575394,True,True,False,False,False
270,9.009,0.0,1173.2497523023646,1173.2497523023646,0,0,0.7662461152555907,1.0,0.5072043864778968,True,True,False,False,False
280,9.342666666666666,0.0,132.30174037193456,132.30174037193456,0,0,0.7597676331639193,1.0,0.4029225886777523,True,True,False,False,False
290,9.676333333333334,0.0,124.16975444073864,124.16975444073864,0,0,0.7463032188208906,1.0,0.2502469794672636,True,True,False,False,False
300,10.01,0.0,385.28138234451177,385.28138234451177,0,0,0.7375704618177105,1.0,0.3179512975781799,True,True,False,False,False
440,14.681333333333333,0.0,0.0,0.0,0,0,0.7262171361988514,0.2480744112582389,1.0,True,False,False,False,False
