frame,timestamp,left_hand_velocity,right_hand_velocity,avg_hand_velocity,gesture_frequency_cumulative,face_touches_cumulative,smoothness_cumulative,current_smoothness_left,current_smoothness_right,hands_detected,face_detected,is_black_frame,gesture_change,face_touch
0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,False,True,False,False
10,0.33366666666666667,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
20,0.6673333333333333,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
30,1.0010000000000001,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
40,1.3346666666666667,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
50,1.6683333333333334,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
60,2.0020000000000002,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,False,True,False,False
70,2.3356666666666666,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,False,True,False,False
80,2.6693333333333333,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,False,True,False,False
90,3.003,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,False,True,False,False
100,3.336666666666667,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,False,True,False,False
110,3.6703333333333332,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,False,True,False,False
120,4.0040000000000004,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,False,True,False,False
130,4.337666666666666,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,False,False,False,False
140,4.671333333333333,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,False,False,False,False
150,5.005,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,False,False,False,False
160,5.338666666666667,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,False,False,False,False
170,5.6723333333333334,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,False,False,False,False
180,6.006,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,False,False,False,False
190,6.339666666666667,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,False,False,False,False
200,6.673333333333334,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,False,False,False,False
210,7.007000000000001,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,False,False,False,False
220,7.3406666666666665,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,False,False,False,False
230,7.674333333333333,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,False,False,False,False
240,8.008000000000001,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,False,False,False,False
250,8.341666666666667,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,False,False,False,False
260,8.675333333333333,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,False,False,False,False
270,9.009,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,False,False,False,False
280,9.342666666666666,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,False,False,False,False
290,9.676333333333334,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,False,False,False,False
300,10.01,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
310,10.343666666666667,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
320,10.677333333333333,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
330,11.011000000000001,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
340,11.344666666666667,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
350,11.678333333333333,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
360,12.012,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
370,12.345666666666666,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
380,12.679333333333334,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
390,13.013,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
400,13.346666666666668,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
410,13.680333333333333,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
420,14.014000000000001,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
430,14.347666666666667,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
440,14.681333333333333,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
450,15.015,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
460,15.348666666666666,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
470,15.682333333333334,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
480,16.016000000000002,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
490,16.349666666666668,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
500,16.683333333333334,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
510,17.017,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
520,17.350666666666665,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
530,17.684333333333335,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
540,18.018,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
550,18.351666666666667,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
560,18.685333333333332,0.0,0.0,0.0,0,0,0.0,1.0,1.0,False,True,False,False,False
