frame,timestamp,left_hand_velocity,right_hand_velocity,avg_hand_velocity,gesture_frequency_cumulative,face_touches_cumulative,smoothness_cumulative,current_smoothness_left,current_smoothness_right,hands_detected,face_detected,is_black_frame,gesture_change,face_touch
200,6.673333333333334,0.0,0.0,0.0,0,0,1.0,1.0,1.0,True,False,False,False,False
210,7.007000000000001,0.0,0.0,0.0,0,0,1.0,1.0,1.0,True,False,False,False,False
220,7.3406666666666665,14049.45788472047,0.0,14049.45788472047,0,0,1.0,1.0,1.0,True,False,False,False,False
450,15.015,14497.827405769973,0.0,14497.827405769973,0,0,1.0,1.0,1.0,True,False,False,False,False
660,22.022000000000002,994.345817551901,0.0,994.345817551901,0,0,0.9511220685527706,0.02244137105541128,1.0,True,False,False,False,False
670,22.355666666666668,294.23063751318,0.0,294.23063751318,0,0,0.9071426066875723,0.022654899801574382,1.0,True,False,False,False,False
680,22.689333333333334,87.47591220620575,0.0,87.47591220620575,0,0,0.868585064144157,0.04313436250683942,1.0,True,False,False,False,False
690,23.023,64.53785674094418,0.0,64.53785674094418,0,0,0.8552034126107207,0.4695370976195882,1.0,True,False,False,False,False
700,23.356666666666666,83.52147788440118,0.0,83.52147788440118,0,0,0.8577561243244103,0.7614610594952326,1.0,True,False,False,False,False
710,23.690333333333335,2787.5547547266096,0.0,2787.5547547266096,0,0,0.8310943627712251,0.18227701758511647,1.0,True,False,False,False,False
780,26.026,0.0,0.0,0.0,0,0,0.8479849264941025,1.0,1.0,True,False,False,False,False
800,26.693333333333335,0.0,0.0,0.0,0,0,0.8183201072799949,0.10267346870605307,1.0,True,False,False,False,False
810,27.027,319.9414314170345,0.0,319.9414314170345,0,0,0.7921222080863302,0.11268223068669513,1.0,True,False,False,False,False
830,27.694333333333333,4498.752001281144,0.0,4498.752001281144,0,0,0.7693862712878886,0.1295256802038297,1.0,True,False,False,False,False
880,29.362666666666666,0.0,0.0,0.0,0,0,0.7924476441590997,1.0,1.0,True,False,False,False,False
