frame,timestamp,left_hand_velocity,right_hand_velocity,avg_hand_velocity,gesture_frequency_cumulative,face_touches_cumulative,smoothness_cumulative,current_smoothness_left,current_smoothness_right,hands_detected,face_detected,is_black_frame,gesture_change,face_touch
280,9.342666666666666,0.0,0.0,0.0,0,0,1.0,1.0,1.0,True,False,False,False,False
310,10.343666666666667,0.0,0.0,0.0,0,0,1.0,1.0,1.0,True,False,False,False,False
810,27.027,0.0,0.0,0.0,0,0,1.0,1.0,1.0,True,False,False,False,False
820,27.360666666666667,0.0,0.0,0.0,0,0,1.0,1.0,1.0,True,False,False,False,False
830,27.694333333333333,124.58732559570687,0.0,124.58732559570687,0,0,1.0,1.0,1.0,True,False,False,False,False
1560,52.052,0.0,0.0,0.0,1,0,1.0,1.0,1.0,True,False,False,True,False
1570,52.385666666666665,0.0,375.2412587808756,375.2412587808756,2,0,0.9528131311107896,1.0,0.05626262221579214,True,False,False,True,False
1580,52.71933333333333,0.0,30.807810967494206,30.807810967494206,2,0,0.9109128949975617,1.0,0.0676215399570194,True,False,False,False,False
1590,53.053000000000004,0.0,37.215369802782895,37.215369802782895,2,0,0.8770001168017205,1.0,0.1435702260783005,True,False,False,False,False
1600,53.38666666666667,0.0,187.29875514796993,187.29875514796993,2,0,0.8670218383537249,1.0,0.5544346646435298,True,False,False,False,False
2170,72.40566666666666,0.0,7240.7946886231775,7240.7946886231775,2,0,0.8342391043562816,1.0,0.07838899675858255,True,False,False,False,False
2200,73.40666666666667,0.0,0.0,0.0,2,0,0.8026939948602401,0.03757601879173232,1.0,True,False,False,False,False
