frame,timestamp,left_hand_velocity,right_hand_velocity,avg_hand_velocity,gesture_frequency_cumulative,face_touches_cumulative,smoothness_cumulative,current_smoothness_left,current_smoothness_right,hands_detected,face_detected,is_black_frame,gesture_change,face_touch
140,4.671333333333333,0.0,0.0,0.0,0,0,1.0,1.0,1.0,True,False,False,False,False
150,5.005,0.0,0.0,0.0,0,0,1.0,1.0,1.0,True,False,False,False,False
160,5.338666666666667,900.2215283829515,0.0,900.2215283829515,0,0,1.0,1.0,1.0,True,False,False,False,False
170,5.6723333333333334,1777.3453460444077,0.0,1777.3453460444077,0,0,1.0,1.0,1.0,True,False,False,False,False
190,6.339666666666667,6721.46490563544,0.0,6721.46490563544,0,0,0.9534316597359092,0.06863319471818242,1.0,True,False,False,False,False
200,6.673333333333334,3071.214831371476,0.0,3071.214831371476,0,0,0.9131167980094189,0.10056608494201463,1.0,True,False,False,False,False
250,8.341666666666667,0.0,0.0,0.0,0,0,0.921805118208477,1.0,1.0,True,False,False,False,False
260,8.675333333333333,0.0,164.1277975508786,164.1277975508786,0,0,0.9296246063876293,1.0,1.0,True,False,False,False,False
270,9.009,0.0,110.49083402794811,110.49083402794811,0,0,0.8888527304681517,1.0,0.043811694385704966,True,False,False,False,False
280,9.342666666666666,0.0,84.97203166321843,84.97203166321843,0,0,0.854148273186603,1.0,0.08361631530532862,True,False,False,False,False
300,10.01,0.0,1099.8237217895357,1099.8237217895357,0,0,0.8372694878116569,1.0,0.37072083887428176,True,False,False,False,False
310,10.343666666666667,0.0,560.1173155043557,560.1173155043557,0,0,0.8180637552913961,1.0,0.29042432521809874,True,False,False,False,False
320,10.677333333333333,0.0,370.24974927057303,370.24974927057303,0,0,0.8072980645435003,1.0,0.4208136956248754,True,False,False,False,False
370,12.345666666666666,0.0,0.0,0.0,0,0,0.7824813129959628,0.11826109813624981,1.0,True,False,False,False,False
780,26.026,0.0,0.0,0.0,0,0,0.7580589644204397,1.0,0.07651565448146525,True,False,False,False,False
790,26.359666666666666,0.0,1163.7169373682564,1163.7169373682564,0,0,0.7358738055693997,1.0,0.07241475182007918,True,False,False,False,False
800,26.693333333333335,0.0,1062.0993394354834,1062.0993394354834,0,0,0.716244374620109,1.0,0.07915899215298378,True,False,False,False,False
870,29.029,0.0,0.0,0.0,0,0,0.7015239386612042,0.13808003006212147,1.0,True,False,False,False,False
880,29.362666666666666,7128.678128078925,0.0,7128.678128078925,0,0,0.687683445396525,0.12623801202882431,1.0,True,False,False,False,False
890,29.696333333333335,1316.8861269455747,0.0,1316.8861269455747,0,0,0.6277487605112382,0.11162562569196083,0.0650475673953522,True,False,False,False,False
900,30.03,0.0,14505.64958936264,14505.64958936264,0,0,0.6176020150630482,1.0,0.05256261205867652,True,False,False,False,False
910,30.363666666666667,0.0,14223.052326203271,14223.052326203271,0,0,0.5617830390092218,0.08822812037283113,0.03059638867673562,True,False,False,False,False
920,30.697333333333333,0.0,164.4934698904015,164.4934698904015,0,0,0.5568036065033206,1.0,0.023977427900419818,True,False,False,False,False
930,31.031,0.0,153.21043637493878,153.21043637493878,0,0,0.55217768808857,1.0,0.021088844711629296,True,False,False,False,False
940,31.36466666666667,0.0,0.0,0.0,0,0,0.5494250797010672,0.04930320842708407,1.0,True,False,False,False,False
950,31.698333333333334,0.0,0.0,0.0,0,0,0.5458158099637181,1.0,0.02666476465515219,True,False,False,False,False
960,32.032000000000004,0.0,0.0,0.0,0,0,0.5439221532821465,0.05375848629600259,1.0,True,False,False,False,False
970,32.36566666666667,1370.9175034213054,0.0,1370.9175034213054,0,0,0.5445330185415699,0.10006161175275857,1.0,True,False,False,False,False
