frame,timestamp,left_hand_velocity,right_hand_velocity,avg_hand_velocity,gesture_frequency_cumulative,face_touches_cumulative,smoothness_cumulative,current_smoothness_left,current_smoothness_right,hands_detected,face_detected,is_black_frame,gesture_change,face_touch
980,32.699333333333335,0.0,0.0,0.0,0,1,1.0,1.0,1.0,True,True,False,False,True
990,33.033,198.50135434027655,0.0,198.50135434027655,0,2,1.0,1.0,1.0,True,True,False,False,True
1040,34.70133333333333,0.0,0.0,0.0,0,3,1.0,1.0,1.0,True,True,False,False,True
1070,35.702333333333335,0.0,0.0,0.0,0,3,1.0,1.0,1.0,True,True,False,False,False
1110,37.037,1787.7897456246762,0.0,1787.7897456246762,0,3,0.9579328240854653,0.15865648170930594,1.0,True,True,False,False,False
1120,37.370666666666665,3608.5153440370605,0.0,3608.5153440370605,0,3,0.9184746363780043,0.12670189402171111,1.0,True,True,False,False,False
1970,65.73233333333333,0.0,0.0,0.0,0,3,0.9266271727402039,1.0,1.0,True,True,False,False,False
1990,66.39966666666666,0.0,5085.046462203382,5085.046462203382,0,3,0.9339644554661835,1.0,1.0,True,True,False,False,False
2320,77.41066666666667,0.0,0.0,0.0,0,3,0.8947994942792921,0.08462968719453848,1.0,True,True,False,False,False
2790,93.093,10663.239418896086,0.0,10663.239418896086,0,3,0.8586460390184006,0.06652988334075392,1.0,True,True,False,False,False
2800,93.42666666666666,772.6638762694961,0.0,772.6638762694961,0,3,0.8249744596766504,0.04386049120179642,1.0,True,True,False,False,False
2820,94.09400000000001,6940.497878961814,0.0,6940.497878961814,0,3,0.7947967039519162,0.04639380485861603,1.0,True,True,False,False,False
2840,94.76133333333334,2456.888055424527,0.0,2456.888055424527,0,3,0.7703067442038709,0.09979421294292593,1.0,True,True,False,False,False
2860,95.42866666666667,0.0,0.0,0.0,0,3,0.7491072951807145,1.0,0.11662450794461249,True,True,False,False,False
2870,95.76233333333333,0.0,865.3203128054134,865.3203128054134,0,3,0.7294334266178462,1.0,0.10473721910406261,True,True,False,False,False
2880,96.096,0.0,3414.2997590462105,3414.2997590462105,0,3,0.7121249955522231,1.0,0.11269823192323085,True,True,False,False,False
2890,96.42966666666666,0.0,6408.587396186945,6408.587396186945,0,3,0.7012095974941966,1.0,0.20594202994391542,True,True,False,False,False
3520,117.45066666666666,0.0,8365.368589935571,8365.368589935571,0,3,0.6954819768602922,1.0,0.2878667823103041,True,True,False,False,False
3750,125.125,0.0,4196.756002792842,4196.756002792842,0,3,0.6395398075880989,0.1163810683499665,0.15573949992675098,True,True,False,False,False
3800,126.79333333333334,1027.6756888652199,0.0,1027.6756888652199,0,3,0.6317080123632167,0.12244371067855377,1.0,True,True,False,False,False
3810,127.127,1990.8151237985253,0.0,1990.8151237985253,0,3,0.6292253050054135,0.21376187757036919,1.0,True,True,False,False,False
4170,139.139,1720.1801701192148,0.0,1720.1801701192148,0,3,0.6307996111924932,0.2899367337524204,1.0,True,True,False,False,False
