second,speaker,compound,pos,neu,neg,text
3,Speaker B,0.0772,0.126,0.874,0.0,You want me I can take them off (the glasses)?
4,Speaker A,0.4019,1.0,0.0,0.0,Yes.
5,Speaker A,0.0,0.0,1.0,0.0,There we go.
6,Speaker A,0.0,0.0,1.0,0.0,Eyes.
7,Speaker B,0.0,0.0,1.0,0.0,How about this?
8,Speaker A,0.0,0.0,1.0,0.0,I need to know where your eyes are going.
9,Speaker A,0.0,0.0,1.0,0.0,I need to know where your eyes are going.
10,Speaker A,0.0,0.0,1.0,0.0,I need to know where your eyes are going.
11,Speaker B,0.0,0.0,1.0,0.0,To your eyes. My eyes are staying right here locked in the whole time.
12,Speaker A,0.0,0.0,1.0,0.0,Do that.
13,Speaker A,0.7096,0.855,0.145,0.0,That's perfect. Yeah.
14,Speaker B,0.5719,0.825,0.175,0.0,You ready? Yeah.
15,Speaker A,0.2263,0.112,0.888,0.0,Okay. I can kind of see your eyes a little. I know. I know. Keep them.
16,Speaker B,0.4019,0.234,0.606,0.16,"I was just super upset over there cuz you didn't come and swap me out. So, I was like, I might as well come up and steal."
17,Speaker B,0.4019,0.234,0.606,0.16,"I was just super upset over there cuz you didn't come and swap me out. So, I was like, I might as well come up and steal."
18,Speaker B,0.4019,0.234,0.606,0.16,"I was just super upset over there cuz you didn't come and swap me out. So, I was like, I might as well come up and steal."
19,Speaker B,0.4019,0.234,0.606,0.16,"I was just super upset over there cuz you didn't come and swap me out. So, I was like, I might as well come up and steal."
20,Speaker B,0.4019,0.234,0.606,0.16,"I was just super upset over there cuz you didn't come and swap me out. So, I was like, I might as well come up and steal."
21,Speaker A,0.6124,0.5,0.5,0.0,I could tell like you were like
22,Speaker A,0.6124,0.5,0.5,0.0,I could tell like you were like
23,Speaker B,0.3612,0.2,0.8,0.0,did you see through my glasses? I was eyeing like this
24,Speaker A,0.7579,0.455,0.545,0.0,"I I like felt it in my brain like you were like,"
25,Speaker A,0.7579,0.455,0.545,0.0,"I I like felt it in my brain like you were like,"
26,Speaker A,0.7579,0.455,0.545,0.0,"I I like felt it in my brain like you were like,"
27,Speaker A,0.7579,0.455,0.545,0.0,"I I like felt it in my brain like you were like,"
28,Speaker B,0.296,0.167,0.833,0.0,"oh yeah, you heard me over there. I was chatting a little."
29,Speaker B,0.296,0.167,0.833,0.0,"oh yeah, you heard me over there. I was chatting a little."
30,Speaker B,0.296,0.167,0.833,0.0,"oh yeah, you heard me over there. I was chatting a little."
31,Speaker B,0.0,0.0,1.0,0.0,That's what happens. That's dope though.
32,Speaker B,0.1548,0.204,0.649,0.148,Yeah. I'm so sorry I don't remember your name.
33,Speaker A,0.0,0.0,1.0,0.0,Giana. Giana.
34,Speaker A,0.0,0.0,1.0,0.0,Giana. Giana.
35,Speaker B,0.0,0.0,1.0,0.0,I'm Eli. Eli.
36,Speaker B,0.6808,0.444,0.556,0.0,It's nice to meet you. Nice to meet you.
37,Speaker B,0.6808,0.444,0.556,0.0,It's nice to meet you. Nice to meet you.
38,Speaker B,0.6808,0.444,0.556,0.0,It's nice to meet you. Nice to meet you.
39,Speaker A,-0.4391,0.121,0.637,0.242,It's okay. I didn't remember either. I have a really bad memory.
40,Speaker A,-0.4391,0.121,0.637,0.242,It's okay. I didn't remember either. I have a really bad memory.
41,Speaker B,0.0,0.0,1.0,0.0,"Oh, word."
42,Speaker B,0.0,0.0,1.0,0.0,"Oh, word."
43,Speaker B,0.5267,0.355,0.645,0.0,"No, I didn't mean it. She remembers. Haha. Just kidding."
44,Speaker B,0.5267,0.355,0.645,0.0,"No, I didn't mean it. She remembers. Haha. Just kidding."
45,Speaker B,0.5267,0.355,0.645,0.0,"No, I didn't mean it. She remembers. Haha. Just kidding."
46,Speaker B,0.5267,0.355,0.645,0.0,"No, I didn't mean it. She remembers. Haha. Just kidding."
47,Speaker A,0.0,0.0,1.0,0.0,"Anyways, um so so you did some uh or he did some personal training."
48,Speaker B,0.6486,0.31,0.69,0.0,"Oh, for sure. Okay. Well, I think that you and I should probably go work out, too."
49,Speaker B,0.6486,0.31,0.69,0.0,"Oh, for sure. Okay. Well, I think that you and I should probably go work out, too."
50,Speaker B,0.6486,0.31,0.69,0.0,"Oh, for sure. Okay. Well, I think that you and I should probably go work out, too."
51,Speaker B,0.6486,0.31,0.69,0.0,"Oh, for sure. Okay. Well, I think that you and I should probably go work out, too."
52,Speaker B,0.6486,0.31,0.69,0.0,"Oh, for sure. Okay. Well, I think that you and I should probably go work out, too."
53,Speaker B,0.6486,0.31,0.69,0.0,"Oh, for sure. Okay. Well, I think that you and I should probably go work out, too."
54,Speaker A,0.2263,1.0,0.0,0.0,Okay.
55,Speaker B,0.2263,0.655,0.345,0.0,"So, okay."
56,Speaker A,0.0,0.0,1.0,0.0,How often do you hit legs?
57,Speaker B,0.5859,0.407,0.593,0.0,"I hit legs twice a week. Okay, that's good."
58,Speaker B,0.5859,0.407,0.593,0.0,"I hit legs twice a week. Okay, that's good."
59,Speaker B,0.5859,0.407,0.593,0.0,"I hit legs twice a week. Okay, that's good."
60,Speaker A,0.296,0.355,0.645,0.0,"Yeah, I do two, three."
73,Speaker B,0.0,0.0,1.0,0.0,We'll go to the koozie and we'll chill out.
74,Speaker B,0.0,0.0,1.0,0.0,We'll go to the koozie and we'll chill out.
75,Speaker B,0.0,0.0,1.0,0.0,We'll go to the koozie and we'll chill out.
76,Speaker B,0.0,0.0,1.0,0.0,We'll go to the koozie and we'll chill out.
