second,speaker,compound,pos,neu,neg,text
1,Speaker A,0.2263,1.0,0.0,0.0,Okay.
2,Speaker A,0.2263,1.0,0.0,0.0,Okay.
3,Speaker B,0.0,0.0,1.0,0.0,"All right. So, we got some out of the way."
4,Speaker B,0.0,0.0,1.0,0.0,"All right. So, we got some out of the way."
5,Speaker B,0.4019,0.403,0.597,0.0,"Same County, same city. Yes."
6,Speaker B,0.4019,0.403,0.597,0.0,"Same County, same city. Yes."
7,Speaker A,0.0,0.0,1.0,0.0,"Um, we have matching shoes."
8,Speaker A,0.0,0.0,1.0,0.0,"Um, we have matching shoes."
9,Speaker A,0.0,0.0,1.0,0.0,"Um, we have matching shoes."
10,Speaker A,0.0,0.0,1.0,0.0,"Um, we have matching shoes."
11,Speaker A,0.0,0.0,1.0,0.0,"Um, we have matching shoes."
12,Speaker A,0.0,0.0,1.0,0.0,"Um, we have matching shoes."
13,Speaker A,0.6369,0.318,0.682,0.0,"Obviously, a telltale sign of love is what they're saying."
14,Speaker A,0.2263,1.0,0.0,0.0,Okay.
15,Speaker A,0.2263,1.0,0.0,0.0,Okay.
16,Speaker A,0.0,0.0,1.0,0.0,"I didn't think I'd have to ask you, but do you have a girlfriend?"
17,Speaker A,0.0,0.0,1.0,0.0,"I didn't think I'd have to ask you, but do you have a girlfriend?"
18,Speaker A,0.2732,0.344,0.656,0.0,Oh my god. Me neither.
19,Speaker A,0.2732,0.344,0.656,0.0,Oh my god. Me neither.
20,Speaker A,0.2732,0.344,0.656,0.0,Oh my god. Me neither.
21,Speaker A,0.2732,0.344,0.656,0.0,Oh my god. Me neither.
23,Speaker B,0.4404,0.367,0.633,0.0,Off to a better start than.
24,Speaker B,0.4404,0.367,0.633,0.0,Off to a better start than.
25,Speaker B,0.4404,0.367,0.633,0.0,Off to a better start than.
26,Speaker B,0.4404,0.367,0.633,0.0,Off to a better start than.
27,Speaker B,0.4404,0.367,0.633,0.0,Off to a better start than.
28,Speaker A,-0.5574,0.0,0.795,0.205,"Um, I also don't have a girlfriend. My other questions, do you have road rage?"
29,Speaker A,-0.5574,0.0,0.795,0.205,"Um, I also don't have a girlfriend. My other questions, do you have road rage?"
30,Speaker A,-0.5574,0.0,0.795,0.205,"Um, I also don't have a girlfriend. My other questions, do you have road rage?"
31,Speaker A,0.6249,0.339,0.661,0.0,I think that's a great question to ask somebody.
32,Speaker A,0.6249,0.339,0.661,0.0,I think that's a great question to ask somebody.
33,Speaker A,0.6249,0.339,0.661,0.0,I think that's a great question to ask somebody.
34,Speaker A,0.0,0.0,1.0,0.0,You don't?
35,Speaker B,0.4404,0.127,0.873,0.0,"No. It's actually funny you asked that because my if I'm ever driving with my roommate and someone will do something,"
36,Speaker B,0.4404,0.127,0.873,0.0,"No. It's actually funny you asked that because my if I'm ever driving with my roommate and someone will do something,"
37,Speaker B,0.4404,0.127,0.873,0.0,"No. It's actually funny you asked that because my if I'm ever driving with my roommate and someone will do something,"
38,Speaker B,0.4404,0.127,0.873,0.0,"No. It's actually funny you asked that because my if I'm ever driving with my roommate and someone will do something,"
39,Speaker B,0.4404,0.127,0.873,0.0,"No. It's actually funny you asked that because my if I'm ever driving with my roommate and someone will do something,"
40,Speaker B,0.3612,0.185,0.815,0.0,he'll like have to honk the horn because I won't do it.
41,Speaker A,-0.2111,0.224,0.485,0.291,Really? I have like a polite road rage.
42,Speaker A,-0.2111,0.224,0.485,0.291,Really? I have like a polite road rage.
43,Speaker A,-0.2111,0.224,0.485,0.291,Really? I have like a polite road rage.
44,Speaker A,0.2732,0.314,0.503,0.182,"Like I'll be like, ""You're a freak. Turn on your blinker."""
45,Speaker A,0.2732,0.314,0.503,0.182,"Like I'll be like, ""You're a freak. Turn on your blinker."""
46,Speaker A,0.2732,0.314,0.503,0.182,"Like I'll be like, ""You're a freak. Turn on your blinker."""
47,Speaker B,0.8126,0.677,0.323,0.0,But I'll say something. Yeah. Yeah. Yeah.
